color,spine,width,satell,weight,y,n,dark,weight2
2,3,28.3,8,3.05,1,1,1,9.3025
3,3,22.5,0,1.55,0,1,1,2.4025
1,1,26,9,2.3,1,1,1,5.29
3,3,24.8,0,2.1,0,1,1,4.41
3,3,26,4,2.6,1,1,1,6.76
2,3,23.8,0,2.1,0,1,1,4.41
1,1,26.5,0,2.35,0,1,1,5.5225
3,2,24.7,0,1.9,0,1,1,3.61
2,1,23.7,0,1.95,0,1,1,3.8025
3,3,25.6,0,2.15,0,1,1,4.6225
3,3,24.3,0,2.15,0,1,1,4.6225
2,3,25.8,0,2.65,0,1,1,7.0225
2,3,28.2,11,3.05,1,1,1,9.3025
4,2,21,0,1.85,0,1,0,3.4225
2,1,26,14,2.3,1,1,1,5.29
1,1,27.1,8,2.95,1,1,1,8.7025
2,3,25.2,1,2,1,1,1,4
2,3,29,1,3,1,1,1,9
4,3,24.7,0,2.2,0,1,0,4.84
2,3,27.4,5,2.7,1,1,1,7.29
2,2,23.2,4,1.95,1,1,1,3.8025
1,2,25,3,2.3,1,1,1,5.29
2,1,22.5,1,1.6,1,1,1,2.56
3,3,26.7,2,2.6,1,1,1,6.76
4,3,25.8,3,2,1,1,0,4
4,3,26.2,0,1.3,0,1,0,1.69
2,3,28.7,3,3.15,1,1,1,9.9225
2,1,26.8,5,2.7,1,1,1,7.29
4,3,27.5,0,2.6,0,1,0,6.76
2,3,24.9,0,2.1,0,1,1,4.41
1,1,29.3,4,3.2,1,1,1,10.24
1,3,25.8,0,2.6,0,1,1,6.76
2,2,25.7,0,2,0,1,1,4
2,1,25.7,8,2,1,1,1,4
2,1,26.7,5,2.7,1,1,1,7.29
4,3,23.7,0,1.85,0,1,0,3.4225
2,3,26.8,0,2.65,0,1,1,7.0225
2,3,27.5,6,3.15,1,1,1,9.9225
4,3,23.4,0,1.9,0,1,0,3.61
2,3,27.9,6,2.8,1,1,1,7.84
3,3,27.5,3,3.1,1,1,1,9.61
1,1,26.1,5,2.8,1,1,1,7.84
1,1,27.7,6,2.5,1,1,1,6.25
2,1,30,5,3.3,1,1,1,10.89
3,1,28.5,9,3.25,1,1,1,10.5625
3,3,28.9,4,2.8,1,1,1,7.84
2,3,28.2,6,2.6,1,1,1,6.76
2,3,25,4,2.1,1,1,1,4.41
2,3,28.5,3,3,1,1,1,9
2,1,30.3,3,3.6,1,1,1,12.96
4,3,24.7,5,2.1,1,1,0,4.41
2,3,27.7,5,2.9,1,1,1,8.41
1,1,27.4,6,2.7,1,1,1,7.29
2,3,22.9,4,1.6,1,1,1,2.56
2,1,25.7,5,2,1,1,1,4
2,3,28.3,15,3,1,1,1,9
2,3,27.2,3,2.7,1,1,1,7.29
3,3,26.2,3,2.3,1,1,1,5.29
2,1,27.8,0,2.75,0,1,1,7.5625
4,3,25.5,0,2.25,0,1,0,5.0625
3,3,27.1,0,2.55,0,1,1,6.5025
3,3,24.5,5,2.05,1,1,1,4.2025
3,1,27,3,2.45,1,1,1,6.0025
2,3,26,5,2.15,1,1,1,4.6225
2,3,28,1,2.8,1,1,1,7.84
2,3,30,8,3.05,1,1,1,9.3025
2,3,29,10,3.2,1,1,1,10.24
2,3,26.2,0,2.4,0,1,1,5.76
2,1,26.5,0,1.3,0,1,1,1.69
2,3,26.2,3,2.4,1,1,1,5.76
3,3,25.6,7,2.8,1,1,1,7.84
3,3,23,1,1.65,1,1,1,2.7225
3,3,23,0,1.8,0,1,1,3.24
2,3,25.4,6,2.25,1,1,1,5.0625
3,3,24.2,0,1.9,0,1,1,3.61
2,2,22.9,0,1.6,0,1,1,2.56
3,2,26,3,2.2,1,1,1,4.84
2,3,25.4,4,2.25,1,1,1,5.0625
3,3,25.7,0,1.2,0,1,1,1.44
2,3,25.1,5,2.1,1,1,1,4.41
3,2,24.5,0,2.25,0,1,1,5.0625
4,3,27.5,0,2.9,0,1,0,8.41
3,3,23.1,0,1.65,0,1,1,2.7225
3,1,25.9,4,2.55,1,1,1,6.5025
2,3,25.8,0,2.3,0,1,1,5.29
4,3,27,3,2.25,1,1,0,5.0625
2,3,28.5,0,3.05,0,1,1,9.3025
4,1,25.5,0,2.75,0,1,0,7.5625
4,3,23.5,0,1.9,0,1,0,3.61
2,2,24,0,1.7,0,1,1,2.89
2,1,29.7,5,3.85,1,1,1,14.8225
2,1,26.8,0,2.55,0,1,1,6.5025
4,3,26.7,0,2.45,0,1,0,6.0025
2,1,28.7,0,3.2,0,1,1,10.24
3,3,23.1,0,1.55,0,1,1,2.4025
2,1,29,1,2.8,1,1,1,7.84
3,3,25.5,0,2.25,0,1,1,5.0625
3,3,26.5,1,1.967,1,1,1,3.869089
3,3,24.5,1,2.2,1,1,1,4.84
3,3,28.5,1,3,1,1,1,9
2,3,28.2,1,2.867,1,1,1,8.219689
2,3,24.5,1,1.6,1,1,1,2.56
2,3,27.5,1,2.55,1,1,1,6.5025
2,2,24.7,4,2.55,1,1,1,6.5025
2,1,25.2,1,2,1,1,1,4
3,3,27.3,1,2.9,1,1,1,8.41
2,3,26.3,1,2.4,1,1,1,5.76
2,3,29,1,3.1,1,1,1,9.61
2,3,25.3,2,1.9,1,1,1,3.61
2,3,26.5,4,2.3,1,1,1,5.29
2,3,27.8,3,3.25,1,1,1,10.5625
2,3,27,6,2.5,1,1,1,6.25
3,3,25.7,0,2.1,0,1,1,4.41
2,3,25,2,2.1,1,1,1,4.41
2,3,31.9,2,3.325,1,1,1,11.055625
4,3,23.7,0,1.8,0,1,0,3.24
4,3,29.3,12,3.225,1,1,0,10.400625
3,3,22,0,1.4,0,1,1,1.96
2,3,25,5,2.4,1,1,1,5.76
3,3,27,6,2.5,1,1,1,6.25
3,3,23.8,6,1.8,1,1,1,3.24
1,1,30.2,2,3.275,1,1,1,10.725625
3,3,26.2,0,2.225,0,1,1,4.950625
2,3,24.2,2,1.65,1,1,1,2.7225
2,3,27.4,3,2.9,1,1,1,8.41
2,2,25.4,0,2.3,0,1,1,5.29
3,3,28.4,3,3.2,1,1,1,10.24
4,3,22.5,4,1.475,1,1,0,2.175625
2,3,26.2,2,2.025,1,1,1,4.100625
2,1,24.9,6,2.3,1,1,1,5.29
1,2,24.5,6,1.95,1,1,1,3.8025
2,3,25.1,0,1.8,0,1,1,3.24
2,1,28,4,2.9,1,1,1,8.41
4,3,25.8,10,2.25,1,1,0,5.0625
2,3,27.9,7,3.05,1,1,1,9.3025
2,3,24.9,0,2.2,0,1,1,4.84
2,1,28.4,5,3.1,1,1,1,9.61
3,3,27.2,5,2.4,1,1,1,5.76
2,2,25,6,2.25,1,1,1,5.0625
2,3,27.5,6,2.625,1,1,1,6.890625
2,1,33.5,7,5.2,1,1,1,27.04
2,3,30.5,3,3.325,1,1,1,11.055625
3,3,29,3,2.925,1,1,1,8.555625
2,1,24.3,0,2,0,1,1,4
2,3,25.8,0,2.4,0,1,1,5.76
4,3,25,8,2.1,1,1,0,4.41
2,1,31.7,4,3.725,1,1,1,13.875625
2,3,29.5,4,3.025,1,1,1,9.150625
3,3,24,10,1.9,1,1,1,3.61
2,3,30,9,3,1,1,1,9
2,3,27.6,4,2.85,1,1,1,8.1225
2,3,26.2,0,2.3,0,1,1,5.29
2,1,23.1,0,2,0,1,1,4
2,1,22.9,0,1.6,0,1,1,2.56
4,3,24.5,0,1.9,0,1,0,3.61
2,3,24.7,4,1.95,1,1,1,3.8025
2,3,28.3,0,3.2,0,1,1,10.24
2,3,23.9,2,1.85,1,1,1,3.4225
3,3,23.8,0,1.8,0,1,1,3.24
3,2,29.8,4,3.5,1,1,1,12.25
2,3,26.5,4,2.35,1,1,1,5.5225
2,3,26,3,2.275,1,1,1,5.175625
2,3,28.2,8,3.05,1,1,1,9.3025
4,3,25.7,0,2.15,0,1,0,4.6225
2,3,26.5,7,2.75,1,1,1,7.5625
2,3,25.8,0,2.2,0,1,1,4.84
3,3,24.1,0,1.8,0,1,1,3.24
3,3,26.2,2,2.175,1,1,1,4.730625
3,3,26.1,3,2.75,1,1,1,7.5625
3,3,29,4,3.275,1,1,1,10.725625
1,1,28,0,2.625,0,1,1,6.890625
4,3,27,0,2.625,0,1,0,6.890625
2,2,24.5,0,2,0,1,1,4
